Timestamp,CH1 Volts,CH2 Volts,CH3 C,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-08_12-30-15-123,3.45,2.78,25.6,4.12,0.12,-0.05,0.08,26
2025-03-08_12-30-16-456,3.46,2.79,25.7,4.11,0.14,-0.07,0.09,26.1
2025-03-08_12-30-17-789,3.44,2.77,25.5,4.1,0.11,-0.04,0.07,25.9
2025-03-08_12-30-19-012,3.47,2.8,25.8,4.13,0.15,-0.06,0.1,26.2
2025-03-08_12-30-20-345,3.43,2.76,25.4,4.09,0.1,-0.03,0.06,25.8
2025-03-08_12-30-21-678,3.48,2.81,25.9,4.14,0.16,-0.08,0.12,26.3
2025-03-08_12-30-23-001,3.42,2.75,25.3,4.08,0.09,-0.02,0.05,25.7
2025-03-08_12-30-24-334,3.49,2.82,26,4.15,0.17,-0.09,0.13,26.4
2025-03-08_12-30-25-667,3.41,2.74,25.2,4.07,0.08,-0.01,0.04,25.6
2025-03-08_12-30-27-000,3.5,2.83,26.1,4.16,0.18,-0.1,0.14,26.5
2025-03-08_12-30-28-333,3.4,2.73,25.1,4.06,0.07,0,0.03,25.5
2025-03-08_12-30-15-623000,3.45,2.78,26.1,4.16,0.16,-0.06,0.0,26.8
2025-03-08_12-30-16-123000,3.42,2.7,25.2,4.08,0.11,-0.08,0.02,25.5
2025-03-08_12-30-16-623000,3.48,2.74,26.5,4.06,0.11,-0.03,0.07,26.4
2025-03-08_12-30-17-123000,3.42,2.71,26.1,4.05,0.09,-0.02,0.03,26.3
2025-03-08_12-30-17-623000,3.46,2.77,24.7,4.16,0.15,-0.03,0.13,26.3
2025-03-08_12-30-18-123000,3.4,2.73,25.9,3.99,0.06,-0.11,0.12,26.4
2025-03-08_12-30-18-623000,3.43,2.77,25.2,4.13,0.13,-0.03,0.01,25.8
2025-03-08_12-30-19-123000,3.45,2.75,25.4,4.11,0.2,-0.04,0.11,25.2
2025-03-08_12-30-19-623000,3.52,2.74,25.5,4.09,0.01,-0.05,0.14,25.8
2025-03-08_12-30-20-123000,3.51,2.73,25.6,4.13,0.16,-0.09,0.13,25.5
2025-03-08_12-30-20-623000,3.45,2.82,25.3,4.12,0.03,-0.03,0.02,26.4
2025-03-08_12-30-21-123000,3.47,2.84,26.7,4.0,0.11,-0.02,0.02,26.7
2025-03-08_12-30-21-623000,3.45,2.74,24.6,4.02,0.15,-0.02,0.13,25.7
2025-03-08_12-30-22-123000,3.47,2.79,25.7,4.18,0.2,-0.08,0.11,25.5
2025-03-08_12-30-22-623000,3.56,2.69,26.1,4.19,0.18,-0.07,0.01,26.2
2025-03-08_12-30-23-123000,3.52,2.81,24.8,4.06,0.07,-0.0,0.09,25.8
2025-03-08_12-30-23-623000,3.45,2.79,25.4,4.08,0.12,0.02,0.02,25.6
2025-03-08_12-30-24-123000,3.44,2.84,25.3,4.1,0.08,0.03,0.08,26.3
2025-03-08_12-30-24-623000,3.49,2.85,25.9,4.06,0.12,-0.07,0.08,26.3
2025-03-08_12-30-25-123000,3.48,2.71,25.3,4.09,0.13,-0.04,0.12,26.1
2025-03-08_12-30-25-623000,3.51,2.77,26.0,4.13,0.06,-0.03,0.09,25.4
2025-03-08_12-30-26-123000,3.44,2.79,25.8,4.03,0.06,-0.05,0.01,25.7
2025-03-08_12-30-26-623000,3.48,2.78,25.8,4.08,0.12,0.0,0.09,26.7
2025-03-08_12-30-27-123000,3.45,2.77,25.6,3.99,0.09,-0.16,-0.02,25.5
2025-03-08_12-30-27-623000,3.54,2.81,25.9,4.17,0.06,0.0,0.02,26.1
2025-03-08_12-30-28-123000,3.37,2.83,25.6,4.1,0.11,-0.08,0.08,26.0
2025-03-08_12-30-28-623000,3.49,2.82,24.9,4.13,0.16,-0.04,0.05,26.1
2025-03-08_12-30-29-123000,3.45,2.77,24.9,4.1,0.12,-0.09,0.05,26.6
2025-03-08_12-30-29-623000,3.38,2.87,25.5,4.11,0.16,-0.03,0.05,25.7
2025-03-08_12-30-30-123000,3.38,2.77,25.8,4.12,0.09,-0.01,0.02,26.0
2025-03-08_12-30-30-623000,3.51,2.8,26.4,4.19,0.24,-0.03,0.16,26.1
2025-03-08_12-30-31-123000,3.41,2.77,24.8,4.14,0.14,-0.02,0.08,25.7
2025-03-08_12-30-31-623000,3.54,2.87,25.8,4.12,0.08,-0.02,0.21,25.9
2025-03-08_12-30-32-123000,3.41,2.76,25.6,4.07,0.13,-0.05,0.06,26.9
2025-03-08_12-30-32-623000,3.35,2.8,24.7,4.13,0.16,-0.02,0.15,26.5
2025-03-08_12-30-33-123000,3.44,2.77,25.6,4.11,0.12,0.03,0.07,26.0
2025-03-08_12-30-33-623000,3.45,2.81,25.3,4.02,0.03,-0.06,0.13,25.5
2025-03-08_12-30-34-123000,3.48,2.84,25.1,4.14,0.11,-0.04,0.01,26.1
2025-03-08_12-30-34-623000,3.39,2.82,25.4,4.16,0.12,-0.1,0.09,25.5
2025-03-08_12-30-35-123000,3.46,2.83,25.4,4.12,0.22,-0.08,0.07,25.5
2025-03-08_12-30-35-623000,3.55,2.8,25.0,4.19,0.13,-0.07,0.12,26.4
2025-03-08_12-30-36-123000,3.49,2.63,26.1,4.14,0.14,-0.18,0.11,25.3
2025-03-08_12-30-36-623000,3.48,2.79,25.2,4.08,0.12,-0.08,0.03,26.2
2025-03-08_12-30-37-123000,3.46,2.8,26.1,4.18,0.02,-0.03,0.06,26.5
2025-03-08_12-30-37-623000,3.43,2.78,25.6,4.11,0.15,-0.04,0.09,26.8
2025-03-08_12-30-38-123000,3.43,2.75,25.4,4.14,0.2,0.0,-0.0,25.6
2025-03-08_12-30-38-623000,3.44,2.83,25.9,4.13,0.15,-0.09,0.07,26.4
2025-03-08_12-30-39-123000,3.54,1.2,25.0,4.01,0.16,-0.04,0.19,25.4
