Timestamp,CH1 C,CH2 C,CH3 Volts,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-08_12-30-15.123,34.5,27.799999999999997,25.6,4.12,0.12,-0.05,0.08,26.0
2025-03-08_12-30-16.456,34.6,27.9,25.7,4.11,0.14,-0.07,0.09,26.1
2025-03-08_12-30-17.789,34.4,27.7,25.5,4.1,0.11,-0.04,0.07,25.9
2025-03-08_12-30-19.012,34.7,28.0,25.8,4.13,0.15,-0.06,0.1,26.2
2025-03-08_12-30-20.345,34.300000000000004,27.599999999999998,25.4,4.09,0.1,-0.03,0.06,25.8
2025-03-08_12-30-21.678,34.8,28.1,25.9,4.14,0.16,-0.08,0.12,26.3
2025-03-08_12-30-23.001,34.2,27.5,25.3,4.08,0.09,-0.02,0.05,25.7
2025-03-08_12-30-24.334,34.900000000000006,28.2,26.0,4.15,0.17,-0.09,0.13,26.4
2025-03-08_12-30-25.667,34.1,27.400000000000002,25.2,4.07,0.08,-0.01,0.04,25.6
2025-03-08_12-30-27.000,35.0,28.3,26.1,4.16,0.18,-0.1,0.14,26.5
2025-03-08_12-30-28.333,34.0,27.3,25.1,4.06,0.07,0.0,0.03,25.5
