Timestamp,CH1 Volts,CH2 Volts,CH3 Volts,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-10_12-30-00.000,3.42,2.88,25.6,4.06,0.1,-0.05,0.08,26.5
2025-03-10_12-30-00.500,3.57,2.88,26.0,4.09,0.12,-0.04,0.09,26.4
2025-03-10_12-30-01.000,3.53,2.71,24.5,4.02,0.11,-0.04,0.08,26.2
2025-03-10_12-30-01.500,3.52,2.74,26.1,4.08,0.13,-0.07,0.06,25.9
2025-03-10_12-30-02.000,3.42,2.78,26.0,4.03,0.13,-0.06,0.09,26.3
2025-03-10_12-30-02.500,3.47,2.82,26.3,4.2,0.11,-0.04,0.07,26.2
2025-03-10_12-30-03.000,3.58,2.89,26.0,4.1,0.12,-0.05,0.07,25.5
2025-03-10_12-30-03.500,3.48,2.88,25.6,4.11,0.13,-0.06,0.06,25.6
2025-03-10_12-30-04.000,3.42,2.81,25.0,4.09,0.1,-0.07,0.08,26.3
2025-03-10_12-30-04.500,3.47,2.72,24.9,4.12,0.11,-0.05,0.09,26.3
2025-03-10_12-30-05.000,3.52,2.7,24.5,4.03,0.14,-0.05,0.07,25.7
2025-03-10_12-30-05.500,3.55,2.82,26.3,4.02,0.13,-0.06,0.06,26.3
2025-03-10_12-30-06.000,3.57,2.76,24.8,4.11,0.12,-0.03,0.1,26.1
2025-03-10_12-30-06.500,3.55,2.78,25.7,4.03,0.11,-0.05,0.09,26.0
2025-03-10_12-30-07.000,3.49,2.84,26.5,4.04,0.13,-0.06,0.07,25.7
2025-03-10_12-30-07.500,3.46,2.78,25.4,4.08,0.14,-0.05,0.07,26.2
2025-03-10_12-30-08.000,3.47,2.77,25.3,4.15,0.12,-0.04,0.08,26.3
2025-03-10_12-30-08.500,3.45,2.86,25.4,4.08,0.1,-0.03,0.07,26.4
2025-03-10_12-30-09.000,3.48,2.7,26.5,4.19,0.14,-0.03,0.08,25.9
2025-03-10_12-30-09.500,3.42,2.71,25.2,4.09,0.11,-0.06,0.06,26.2
2025-03-10_12-30-10.000,3.48,2.74,25.5,4.11,0.13,-0.05,0.09,25.7
2025-03-10_12-30-10.500,3.52,2.77,24.6,4.12,0.11,-0.07,0.08,25.8
2025-03-10_12-30-11.000,3.42,2.77,25.4,4.01,0.12,-0.04,0.09,26.3
2025-03-10_12-30-11.500,3.57,2.74,25.6,4.12,0.12,-0.05,0.09,26.2
2025-03-10_12-30-12.000,3.45,2.9,26.1,4.11,0.11,-0.03,0.06,26.0
2025-03-10_12-30-12.500,3.55,2.79,25.8,4.11,0.13,-0.07,0.07,26.5
